"IZ2011_Code","SIMD2020v2_Rank","IMD IZ Deciles"
"S02001669",2336.85476550681,"3"
"S02001670",2307.3125,"3"
"S02001671",1246.97462203024,"2"
"S02001672",6353.37776318669,"10 least deprived"
"S02001673",6766.64239130435,"10 least deprived"
"S02001674",6390.3047029703,"10 least deprived"
"S02001675",3001.37481816712,"4"
"S02001676",3778.18075937573,"6"
"S02001677",6433.48934145413,"10 least deprived"
"S02001678",5947.01440167583,"10 least deprived"
"S02001679",6117.56323687031,"10 least deprived"
"S02001680",5054.94017094017,"8"
"S02001681",5003.15758534931,"8"
"S02001682",5106.41210139002,"9"
"S02001683",4445.16776409963,"7"
"S02001684",4448.28273770276,"7"
"S02001685",5369.84323089701,"9"
"S02001686",5932.30619469027,"10 least deprived"
"S02001687",3114.00165289256,"5"
"S02001688",3414.74140302613,"5"
"S02001689",3455.44330453564,"5"
"S02001690",3000.92657621708,"4"
"S02001691",3037.22687516565,"5"
"S02001692",3919.28540364229,"6"
"S02001693",2722.76627402356,"4"
"S02001694",3781.22019334049,"6"
"S02001695",3726.36417816813,"6"
"S02001696",3043.68861712135,"5"
"S02001697",3540.52028693118,"6"
"S02001698",2932.17254806522,"4"
"S02001699",5009.93551554828,"8"
"S02001700",3159.77717525265,"5"
"S02001701",3037.98065445565,"5"
"S02001702",3656.17263843648,"6"
"S02001703",4790.91093233731,"8"
"S02001704",5534.85241273101,"9"
"S02001705",1854.19457889642,"2"
"S02001706",3797.54712576598,"6"
"S02001707",5625.54963680387,"9"
"S02001708",5196.44599697885,"9"
"S02001709",3039.41275659824,"5"
"S02001710",3770.66479568927,"6"
"S02001711",769.571083690987,"1st most deprived"
"S02001712",4267.17231759657,"7"
"S02001713",2200.44877764843,"3"
"S02001714",2465.90757935651,"3"
"S02001715",2622.73057288712,"4"
"S02001716",4384.7578125,"7"
"S02001717",1126.35300067431,"1st most deprived"
"S02001718",1426.94911584266,"2"
"S02001719",2593.11049723757,"4"
"S02001720",5967.35540720961,"10 least deprived"
"S02001721",1238.04872681547,"2"
"S02001722",3787.215590743,"6"
"S02001723",2309.08203530633,"3"
"S02001724",5670.98561151079,"9"
"S02001725",5215.50658367249,"9"
"S02001726",4048.00745270399,"7"
"S02001727",5277.8327155918,"9"
"S02001728",3223.77190839695,"5"
"S02001729",2560.78543127095,"4"
"S02001730",2180.39718546524,"3"
"S02001731",3048.46335927367,"5"
"S02001732",2945.68258896585,"4"
"S02001733",1976.17758759026,"3"
"S02001734",4165.84570899838,"7"
"S02001735",3714.10356200528,"6"
"S02001736",2923.0523659306,"4"
"S02001737",4037.98664778475,"7"
"S02001738",3643.32519237203,"6"
"S02001739",2613.0890768848,"4"
"S02001740",4020.22611963671,"7"
"S02001741",2727.22491448119,"4"
"S02001742",5021.99231306778,"8"
"S02001743",5791.71479289941,"9"
"S02001744",4825.6650273224,"8"
"S02001745",1944.79077918576,"3"
"S02001746",3070.52919470371,"5"
"S02001747",3979.76028277635,"7"
"S02001748",3084.11121212121,"5"
"S02001749",6566.0245740498,"10 least deprived"
"S02001750",4703.16167664671,"8"
"S02001751",5810.35533091741,"9"
"S02001752",1202.04102564103,"2"
"S02001753",1064.08979278588,"1st most deprived"
"S02001754",3218.09125607217,"5"
"S02001755",6214.13998510797,"10 least deprived"
"S02001756",6511.79178885631,"10 least deprived"
"S02001757",6150.88891855808,"10 least deprived"
"S02001758",5742.06066613799,"9"
"S02001759",3485.18970189702,"5"
"S02001760",3196.67016737775,"5"
"S02001761",2453.20241098963,"3"
"S02001762",3904.59771258081,"6"
"S02001763",4214.35025706941,"7"
"S02001764",2960.96155190493,"4"
"S02001765",6738.89310083397,"10 least deprived"
"S02001766",6248.45695364238,"10 least deprived"
"S02001767",5700.94777265745,"9"
"S02001768",3905.13866742597,"6"
"S02001769",1666.23173016864,"2"
"S02001770",1550.90600775194,"2"
"S02001771",3024.57357480963,"4"
"S02001772",1475.87870822381,"2"
"S02001773",3250.88129130656,"5"
"S02001774",960.039104159261,"1st most deprived"
"S02001775",764.226680384088,"1st most deprived"
"S02001776",2122.8535011294,"3"
"S02001777",2668.92538338293,"4"
"S02001778",1157.57115384615,"1st most deprived"
"S02001779",4473.76950146628,"8"
"S02001780",3265.2797254229,"5"
"S02001781",4601.54015444015,"8"
"S02001782",4369.19314530525,"7"
"S02001783",1984.81339502093,"3"
"S02001784",3470.16827973775,"5"
"S02001785",3281.61865250581,"5"
"S02001786",2717.76,"4"
"S02001787",5906.63125,"10 least deprived"
"S02001788",3728.22385076616,"6"
"S02001789",1831.58691275168,"2"
"S02001790",1171.97306189595,"1st most deprived"
"S02001791",6136.77853598015,"10 least deprived"
"S02001792",4271.9243253444,"7"
"S02001793",1204.55860756051,"2"
"S02001794",3949.30925432756,"6"
"S02001795",648.328909952607,"1st most deprived"
"S02001796",1848.22216127263,"2"
"S02001797",2259.83381736044,"3"
"S02001798",2579.89493791786,"4"
"S02001799",3076.08832511158,"5"
"S02001800",743.150828460039,"1st most deprived"
"S02001801",3176.52285191956,"5"
"S02001802",2633.1112849162,"4"
"S02001803",1006.96153846154,"1st most deprived"
"S02001804",3218.25225750073,"5"
"S02001805",3542.13978710584,"6"
"S02001806",2970.84895259096,"4"
"S02001807",5675.28563505269,"9"
"S02001808",924.944139194139,"1st most deprived"
"S02001809",1498.44315992293,"2"
"S02001810",3530.75035211268,"6"
"S02001811",4704.52112349118,"8"
"S02001812",4360.38622754491,"7"
"S02001813",982.917267713195,"1st most deprived"
"S02001814",1005.80362335048,"1st most deprived"
"S02001815",314.09634551495,"1st most deprived"
"S02001816",726.923365024489,"1st most deprived"
"S02001817",2359.11917443409,"3"
"S02001818",2820.8819858156,"4"
"S02001819",3140.84247104247,"5"
"S02001820",4038.77538026176,"7"
"S02001821",1871.3236156949,"2"
"S02001822",3940.82550655542,"6"
"S02001823",5041.44807692308,"8"
"S02001824",4054.3245508982,"7"
"S02001825",3781.31898646303,"6"
"S02001826",4329.45012722646,"7"
"S02001827",2977.26977750309,"4"
"S02001828",5005.06702898551,"8"
"S02001829",4778.74720670391,"8"
"S02001830",3976.27819218956,"7"
"S02001831",3604.26911655531,"6"
"S02001832",3806.06616611919,"6"
"S02001833",4586.27771010962,"8"
"S02001834",4341.23683577783,"7"
"S02001835",5818.91965290053,"10 least deprived"
"S02001836",6316.96413697362,"10 least deprived"
"S02001837",6398.0151773857,"10 least deprived"
"S02001838",5170.68372898121,"9"
"S02001839",5171.8249931638,"9"
"S02001840",3994.15815921714,"7"
"S02001841",5789.10177404295,"9"
"S02001842",2450.95745920746,"3"
"S02001843",2196.77137659187,"3"
"S02001844",4025.9839941797,"7"
"S02001845",411.620649843312,"1st most deprived"
"S02001846",245.936832181018,"1st most deprived"
"S02001847",1282.98848736808,"2"
"S02001848",5319.68738420077,"9"
"S02001849",812.226421577049,"1st most deprived"
"S02001850",1948.36565008026,"3"
"S02001851",1171.68484435356,"1st most deprived"
"S02001852",2981.54026270702,"4"
"S02001853",1064.18231420508,"1st most deprived"
"S02001854",2295.16382352941,"3"
"S02001855",1070.82350127551,"1st most deprived"
"S02001856",558.297587574356,"1st most deprived"
"S02001857",1126.37834757835,"1st most deprived"
"S02001858",2230.08384176343,"3"
"S02001859",229.540141843972,"1st most deprived"
"S02001860",1353.20943861814,"2"
"S02001861",2736.86760895171,"4"
"S02001862",1776.12694088804,"2"
"S02001863",3604.82231759657,"6"
"S02001864",2894.52749208861,"4"
"S02001865",1123.91643258427,"1st most deprived"
"S02001866",841.7565374211,"1st most deprived"
"S02001867",3690.10527351436,"6"
"S02001868",3368.70982920878,"5"
"S02001869",5312.10260809883,"9"
"S02001870",4519.56228327554,"8"
"S02001871",4263.30806636156,"7"
"S02001872",5373.18267959454,"9"
"S02001873",1658.37756497948,"2"
"S02001874",1045.85653809972,"1st most deprived"
"S02001875",1659.11413215302,"2"
"S02001876",4271.05456570156,"7"
"S02001877",4608.57180462123,"8"
"S02001878",5324.66449031171,"9"
"S02001879",5438.20156139106,"9"
"S02001880",2103.68047182176,"3"
"S02001881",521.271085532844,"1st most deprived"
"S02001882",418.997435299604,"1st most deprived"
"S02001883",1602.47801972062,"2"
"S02001884",3787.20876979294,"6"
"S02001885",4366.38843764931,"7"
"S02001886",3340.00871542251,"5"
"S02001887",3189.54447004608,"5"
"S02001888",1205.87094713305,"2"
"S02001889",1089.73225545675,"1st most deprived"
"S02001890",2394.94971289368,"3"
"S02001891",2022.98870822042,"3"
"S02001892",1273.55913978495,"2"
"S02001893",264.06,"1st most deprived"
"S02001894",321.971809470907,"1st most deprived"
"S02001895",757.793395427604,"1st most deprived"
"S02001896",1008.60956741396,"1st most deprived"
"S02001897",3206.42290748899,"5"
"S02001898",2078.6199163816,"3"
"S02001899",4965.30390778746,"8"
"S02001900",1913.09866448624,"2"
"S02001901",3420.90144836272,"5"
"S02001902",4542.63207776428,"8"
"S02001903",4573.25291647224,"8"
"S02001904",712.687259923175,"1st most deprived"
"S02001905",149.109444669639,"1st most deprived"
"S02001906",2754.89400218102,"4"
"S02001907",117.824412347777,"1st most deprived"
"S02001908",844.4580781415,"1st most deprived"
"S02001909",1676.63817829457,"2"
"S02001910",658.571183900664,"1st most deprived"
"S02001911",941.388803287108,"1st most deprived"
"S02001912",591.313445931125,"1st most deprived"
"S02001913",1069.35693557748,"1st most deprived"
"S02001914",599.5554866708,"1st most deprived"
"S02001915",575.796652870254,"1st most deprived"
"S02001916",1201.71155184412,"2"
"S02001917",1239.82289182744,"2"
"S02001918",4796.69795447047,"8"
"S02001919",821.668827342369,"1st most deprived"
"S02001920",1016.93662441628,"1st most deprived"
"S02001921",1605.68533034714,"2"
"S02001922",624.42774308653,"1st most deprived"
"S02001923",946.604255319149,"1st most deprived"
"S02001924",1453.49399098648,"2"
"S02001925",678,"1st most deprived"
"S02001926",583.606526567572,"1st most deprived"
"S02001927",3686.84833810258,"6"
"S02001928",1987.52938916635,"3"
"S02001929",722.321855973126,"1st most deprived"
"S02001930",3802.63546685019,"6"
"S02001931",2796.31983352009,"4"
"S02001932",3038.97564951605,"5"
"S02001933",2544.08266360505,"3"
"S02001934",3322.78891540705,"5"
"S02001935",3767.11043902439,"6"
"S02001936",5250.4950830073,"9"
"S02001937",4927.65798752373,"8"
"S02001938",1188.27657175078,"1st most deprived"
"S02001939",3015.41994005364,"4"
"S02001940",455.931498470948,"1st most deprived"
"S02001941",2442.97789835892,"3"
"S02001942",758.637661906343,"1st most deprived"
"S02001943",495.294482758621,"1st most deprived"
"S02001944",425.998683777558,"1st most deprived"
"S02001945",3048.02636916836,"5"
"S02001946",1953.55828555829,"3"
"S02001947",720.676282051282,"1st most deprived"
"S02001948",819.156590683845,"1st most deprived"
"S02001949",184.685256103399,"1st most deprived"
"S02001950",6182.08214517174,"10 least deprived"
"S02001951",5576.34231609614,"9"
"S02001952",5500.23484848485,"9"
"S02001953",3739.55743149737,"6"
"S02001954",4143.1913685406,"7"
